O jogador jogou até o fim!
A inteligencia estava jogando com as pretas
O ganhador foram as brancas
Jogadas brancas:
d2d4, 139
h2h4, 139
c1g5, 138
g5d8, 129
d1d3, 129
d4c5, 126
d8c7, 125
d3d6, 122
d6e5, 121
e5h8, 116
b1c3, 116
h1h3, 116
h3f3, 116
h8d8, 116
d8d6, 15
Jogadas pretas:
g7g5, 139
g8h6, 139
e7e5, 139
f8c5, 139
h6f5, 139
f5d6, 139
e8e7, 139
e7e8, 139
e8f8, 139
f8e7, 139
h7h6, 139
d7d6, 139
b7b5, 139
e7e6, 139
debug_info_ia:
nós: 595330, tempo: 76.8042311668396
nós: 390425, tempo: 54.94313073158264
nós: 979220, tempo: 157.80413842201233
nós: 336326, tempo: 42.54622197151184
nós: 617414, tempo: 79.97449088096619
nós: 566210, tempo: 77.91254496574402
nós: 667199, tempo: 95.1994981765747
nós: 14866, tempo: 1.8755218982696533
nós: 3239, tempo: 0.4338722229003906
nós: 7111, tempo: 0.9814026355743408
nós: 253771, tempo: 38.53254985809326
nós: 221747, tempo: 33.85160732269287
nós: 215328, tempo: 30.72783589363098
nós: 4371, tempo: 0.6503181457519531
